,STOCK_CODE,Date,file_name
1767,601881.SH,20200319,sh601881_20200319
1768,601881.SH,20200320,sh601881_20200320
1769,601881.SH,20200323,sh601881_20200323
1770,601881.SH,20200324,sh601881_20200324
1771,601881.SH,20200325,sh601881_20200325
1772,601881.SH,20200326,sh601881_20200326
1773,601881.SH,20200327,sh601881_20200327
1774,601881.SH,20200330,sh601881_20200330
1775,601881.SH,20200331,sh601881_20200331
1776,601881.SH,20200401,sh601881_20200401
1777,601881.SH,20200402,sh601881_20200402
1778,601881.SH,20200403,sh601881_20200403
1779,601881.SH,20200407,sh601881_20200407
1780,601881.SH,20200408,sh601881_20200408
1781,601881.SH,20200409,sh601881_20200409
1782,601881.SH,20200410,sh601881_20200410
1783,601881.SH,20200413,sh601881_20200413
1784,601881.SH,20200414,sh601881_20200414
1785,600095.SH,20200316,sh600095_20200316
1786,600095.SH,20200317,sh600095_20200317
1787,600095.SH,20200318,sh600095_20200318
1788,600095.SH,20200319,sh600095_20200319
1789,600095.SH,20200320,sh600095_20200320
1790,600095.SH,20200323,sh600095_20200323
1791,600095.SH,20200324,sh600095_20200324
1792,600095.SH,20200325,sh600095_20200325
1793,600095.SH,20200326,sh600095_20200326
1794,600095.SH,20200327,sh600095_20200327
1795,600095.SH,20200330,sh600095_20200330
1796,600095.SH,20200331,sh600095_20200331
1797,600095.SH,20200401,sh600095_20200401
1798,600095.SH,20200402,sh600095_20200402
1799,600095.SH,20200403,sh600095_20200403
1800,600095.SH,20200407,sh600095_20200407
1801,600095.SH,20200408,sh600095_20200408
1802,600095.SH,20200409,sh600095_20200409
1803,600095.SH,20200410,sh600095_20200410
1804,600095.SH,20200413,sh600095_20200413
1805,600095.SH,20200414,sh600095_20200414
1806,300142.SZ,20200316,sz300142_20200316
1807,300142.SZ,20200317,sz300142_20200317
1808,300142.SZ,20200318,sz300142_20200318
1809,300142.SZ,20200319,sz300142_20200319
1810,300142.SZ,20200320,sz300142_20200320
1811,300142.SZ,20200323,sz300142_20200323
1812,300142.SZ,20200324,sz300142_20200324
1813,300142.SZ,20200325,sz300142_20200325
1814,300142.SZ,20200326,sz300142_20200326
1815,300142.SZ,20200327,sz300142_20200327
1816,300142.SZ,20200330,sz300142_20200330
1817,300142.SZ,20200331,sz300142_20200331
1818,300142.SZ,20200401,sz300142_20200401
1819,300142.SZ,20200402,sz300142_20200402
1820,300142.SZ,20200403,sz300142_20200403
1821,300142.SZ,20200407,sz300142_20200407
1822,300142.SZ,20200408,sz300142_20200408
1823,300142.SZ,20200409,sz300142_20200409
1824,300142.SZ,20200410,sz300142_20200410
1825,300142.SZ,20200413,sz300142_20200413
1826,300142.SZ,20200414,sz300142_20200414
1827,600446.SH,20200316,sh600446_20200316
1828,600446.SH,20200317,sh600446_20200317
1829,600446.SH,20200318,sh600446_20200318
1830,600446.SH,20200319,sh600446_20200319
1831,600446.SH,20200320,sh600446_20200320
1832,600446.SH,20200323,sh600446_20200323
1833,600446.SH,20200324,sh600446_20200324
1834,600446.SH,20200325,sh600446_20200325
1835,600446.SH,20200326,sh600446_20200326
1836,600446.SH,20200327,sh600446_20200327
1837,600446.SH,20200330,sh600446_20200330
1838,600446.SH,20200331,sh600446_20200331
1839,600446.SH,20200401,sh600446_20200401
1840,600446.SH,20200402,sh600446_20200402
1841,600446.SH,20200403,sh600446_20200403
1842,600446.SH,20200407,sh600446_20200407
1843,600446.SH,20200408,sh600446_20200408
1844,600446.SH,20200409,sh600446_20200409
1845,600446.SH,20200410,sh600446_20200410
1846,600446.SH,20200413,sh600446_20200413
1847,600446.SH,20200414,sh600446_20200414
1848,600621.SH,20200316,sh600621_20200316
1849,600621.SH,20200317,sh600621_20200317
1850,600621.SH,20200318,sh600621_20200318
1851,600621.SH,20200319,sh600621_20200319
1852,600621.SH,20200320,sh600621_20200320
1853,600621.SH,20200323,sh600621_20200323
1854,600621.SH,20200324,sh600621_20200324
1855,600621.SH,20200325,sh600621_20200325
1856,600621.SH,20200326,sh600621_20200326
1857,600621.SH,20200327,sh600621_20200327
1858,600621.SH,20200330,sh600621_20200330
1859,600621.SH,20200331,sh600621_20200331
1860,600621.SH,20200401,sh600621_20200401
1861,600621.SH,20200402,sh600621_20200402
1862,600621.SH,20200403,sh600621_20200403
1863,600621.SH,20200407,sh600621_20200407
1864,600621.SH,20200408,sh600621_20200408
1865,600621.SH,20200409,sh600621_20200409
1866,600621.SH,20200410,sh600621_20200410
1867,600621.SH,20200413,sh600621_20200413
1868,600621.SH,20200414,sh600621_20200414
1869,000001.SZ,20200316,sz000001_20200316
1870,000001.SZ,20200317,sz000001_20200317
1871,000001.SZ,20200318,sz000001_20200318
1872,000001.SZ,20200319,sz000001_20200319
1873,000001.SZ,20200320,sz000001_20200320
1874,000001.SZ,20200323,sz000001_20200323
1875,000001.SZ,20200324,sz000001_20200324
1876,000001.SZ,20200325,sz000001_20200325
1877,000001.SZ,20200326,sz000001_20200326
1878,000001.SZ,20200327,sz000001_20200327
1879,000001.SZ,20200330,sz000001_20200330
1880,000001.SZ,20200331,sz000001_20200331
1881,000001.SZ,20200401,sz000001_20200401
1882,000001.SZ,20200402,sz000001_20200402
1883,000001.SZ,20200403,sz000001_20200403
1884,000001.SZ,20200407,sz000001_20200407
1885,000001.SZ,20200408,sz000001_20200408
1886,000001.SZ,20200409,sz000001_20200409
1887,000001.SZ,20200410,sz000001_20200410
1888,000001.SZ,20200413,sz000001_20200413
